post_id,creator_handle,platform,caption,like_count,posted_at,clean_caption,topic_id
p_001,dr.skinlab,instagram,How long to wait between actives — dermatology resident perspective #skincare #beauty link in bio,87007,2025-10-21,how long to wait between actives dermatology resident perspective skincare beauty link in bio,7
p_002,dr.skinlab,instagram,Why your moisturizer matters more than your serum — barrier 101 thread #skincare #beauty,4647,2025-08-04,why your moisturizer matters more than your serum barrier 101 thread skincare beauty,3
p_003,dr.skinlab,instagram,Niacinamide vs vitamin C: can you use both? here's the order,5619,2025-09-08,niacinamide vs vitamin c can you use both here's the order,4
p_004,dr.skinlab,instagram,Retinol sandwich method explained in 60 seconds #skincare #beauty,18128,2025-07-21,retinol sandwich method explained in 60 seconds skincare beauty,1
p_005,dr.skinlab,instagram,Double cleanse demo: oil cleanser + gentle gel for sunscreen removal,874,2025-08-13,double cleanse demo oil cleanser gentle gel for sunscreen removal,5
p_006,dr.skinlab,instagram,Morning routine for melasma-prone skin — SPF is step zero,888,2025-09-25,morning routine for melasma prone skin spf is step zero,0
p_007,barrierbestie,tiktok,Morning routine for melasma-prone skin — SPF is step zero #skincare #beauty,1015,2025-08-08,morning routine for melasma prone skin spf is step zero skincare beauty,0
p_009,barrierbestie,tiktok,BHA 2% for clogged pores: application tips and what to avoid,1774,2025-10-05,bha 2 for clogged pores application tips and what to avoid,1
p_010,barrierbestie,instagram,Slugging debate: petroleum jelly overnight yes or no,241,2025-09-04,slugging debate petroleum jelly overnight yes or no,1
p_011,barrierbestie,tiktok,Retinol sandwich method explained in 60 seconds #skincare #beauty,7256,2025-08-19,retinol sandwich method explained in 60 seconds skincare beauty,1
p_012,barrierbestie,instagram,Niacinamide vs vitamin C: can you use both? here's the order link in bio,344,2025-07-23,niacinamide vs vitamin c can you use both here's the order link in bio,7
p_013,retinol_rachel,tiktok,Azelaic acid for post-acne marks: 8 week update with photos,6686,2025-09-28,azelaic acid for post acne marks 8 week update with photos,7
p_014,retinol_rachel,instagram,Signs your skin barrier is compromised (and how to fix it) #skincare #beauty,8914,2025-10-19,signs your skin barrier is compromised and how to fix it skincare beauty,2
p_015,retinol_rachel,tiktok,How long to wait between actives — dermatology resident perspective,4299,2025-08-26,how long to wait between actives dermatology resident perspective,1
p_016,retinol_rachel,tiktok,Tretinoin purge vs breakout — how to tell the difference link in bio,1957,2025-07-12,tretinoin purge vs breakout how to tell the difference link in bio,4
p_017,retinol_rachel,instagram,SPF reapplication on office days: what actually works under makeup #skincare #beauty,309,2025-08-23,spf reapplication on office days what actually works under makeup skincare beauty,9
p_018,retinol_rachel,tiktok,Ingredient spotlight: ceramides and why they're not optional,11633,2025-09-11,ingredient spotlight ceramides and why they're not optional,1
p_019,retinol_rachel,instagram,Mineral vs chemical sunscreen: UV camera test results,1089,2025-09-19,mineral vs chemical sunscreen uv camera test results,8
p_020,retinol_rachel,instagram,Ingredient spotlight: ceramides and why they're not optional #skincare #beauty,4696,2025-10-24,ingredient spotlight ceramides and why they're not optional skincare beauty,1
p_021,retinol_rachel,tiktok,Morning routine for melasma-prone skin — SPF is step zero,4641,2025-10-16,morning routine for melasma prone skin spf is step zero,0
p_022,glow.with.grace,tiktok,Niacinamide vs vitamin C: can you use both? here's the order,257,2025-09-17,niacinamide vs vitamin c can you use both here's the order,4
p_023,glow.with.grace,instagram,Double cleanse demo: oil cleanser + gentle gel for sunscreen removal link in bio,5971,2025-10-08,double cleanse demo oil cleanser gentle gel for sunscreen removal link in bio,5
p_024,glow.with.grace,instagram,Double cleanse demo: oil cleanser + gentle gel for sunscreen removal #skincare #beauty,1281,2025-08-23,double cleanse demo oil cleanser gentle gel for sunscreen removal skincare beauty,5
p_025,glow.with.grace,instagram,Mineral vs chemical sunscreen: UV camera test results,784,2025-10-05,mineral vs chemical sunscreen uv camera test results,8
p_026,glow.with.grace,instagram,"Day in my life in NYC — coffee, meetings, sunset walk #skincare #beauty link in bio",317,2025-09-04,day in my life in nyc coffee meetings sunset walk skincare beauty link in bio,7
p_027,glow.with.grace,instagram,Why fragrance in skincare isn't always the enemy (but often is for rosacea),1085,2025-10-25,why fragrance in skincare isn't always the enemy but often is for rosacea,1
p_028,glow.with.grace,instagram,Ingredient spotlight: ceramides and why they're not optional #skincare #beauty,4224,2025-07-15,ingredient spotlight ceramides and why they're not optional skincare beauty,1
p_029,glow.with.grace,tiktok,Why your moisturizer matters more than your serum — barrier 101 thread link in bio,10397,2025-07-04,why your moisturizer matters more than your serum barrier 101 thread link in bio,3
p_030,glow.with.grace,instagram,Apartment deep clean with me — satisfying reset link in bio,1999,2025-08-27,apartment deep clean with me satisfying reset link in bio,7
p_031,glow.with.grace,tiktok,How long to wait between actives — dermatology resident perspective #skincare #beauty,1710,2025-08-11,how long to wait between actives dermatology resident perspective skincare beauty,1
p_032,acnepath,instagram,BHA 2% for clogged pores: application tips and what to avoid link in bio,5275,2025-10-20,bha 2 for clogged pores application tips and what to avoid link in bio,7
p_033,acnepath,tiktok,Niacinamide vs vitamin C: can you use both? here's the order link in bio,2166,2025-07-18,niacinamide vs vitamin c can you use both here's the order link in bio,7
p_034,acnepath,instagram,How long to wait between actives — dermatology resident perspective,6476,2025-07-05,how long to wait between actives dermatology resident perspective,1
p_035,acnepath,instagram,BHA 2% for clogged pores: application tips and what to avoid #skincare #beauty link in bio,5382,2025-09-26,bha 2 for clogged pores application tips and what to avoid skincare beauty link in bio,7
p_036,acnepath,tiktok,Why fragrance in skincare isn't always the enemy (but often is for rosacea),3025,2025-07-08,why fragrance in skincare isn't always the enemy but often is for rosacea,1
p_037,acnepath,instagram,SPF reapplication on office days: what actually works under makeup,4369,2025-07-30,spf reapplication on office days what actually works under makeup,9
p_038,acnepath,instagram,Why fragrance in skincare isn't always the enemy (but often is for rosacea) link in bio,1633,2025-09-07,why fragrance in skincare isn't always the enemy but often is for rosacea link in bio,7
p_039,acnepath,instagram,How long to wait between actives — dermatology resident perspective,8430,2025-10-01,how long to wait between actives dermatology resident perspective,1
p_040,spf.sam,tiktok,Ingredient spotlight: ceramides and why they're not optional,9398,2025-10-12,ingredient spotlight ceramides and why they're not optional,1
p_041,spf.sam,tiktok,Peptide serums: what the evidence actually says #skincare #beauty,6181,2025-07-05,peptide serums what the evidence actually says skincare beauty,9
p_042,spf.sam,tiktok,Mineral vs chemical sunscreen: UV camera test results,284,2025-09-14,mineral vs chemical sunscreen uv camera test results,8
p_043,spf.sam,instagram,Morning routine for melasma-prone skin — SPF is step zero,531,2025-07-13,morning routine for melasma prone skin spf is step zero,0
p_044,spf.sam,tiktok,Why your moisturizer matters more than your serum — barrier 101 thread,838,2025-09-11,why your moisturizer matters more than your serum barrier 101 thread,3
p_045,spf.sam,instagram,Morning routine for melasma-prone skin — SPF is step zero,8523,2025-08-19,morning routine for melasma prone skin spf is step zero,0
p_046,chemist.chloe,tiktok,Tretinoin purge vs breakout — how to tell the difference,2266,2025-07-21,tretinoin purge vs breakout how to tell the difference,4
p_047,chemist.chloe,tiktok,Why fragrance in skincare isn't always the enemy (but often is for rosacea),2207,2025-08-08,why fragrance in skincare isn't always the enemy but often is for rosacea,1
p_048,chemist.chloe,tiktok,Doctor explains why over-exfoliating ruins your barrier,3115,2025-09-21,doctor explains why over exfoliating ruins your barrier,1
p_049,chemist.chloe,instagram,How long to wait between actives — dermatology resident perspective,4188,2025-08-23,how long to wait between actives dermatology resident perspective,1
p_050,chemist.chloe,tiktok,Stitch: why lemon juice on face is never the answer #skincare #beauty,2619,2025-10-05,stitch why lemon juice on face is never the answer skincare beauty,1
p_051,chemist.chloe,tiktok,Peptide serums: what the evidence actually says,4705,2025-08-09,peptide serums what the evidence actually says,9
p_052,chemist.chloe,tiktok,Signs your skin barrier is compromised (and how to fix it) #skincare #beauty,4716,2025-10-07,signs your skin barrier is compromised and how to fix it skincare beauty,2
p_053,chemist.chloe,instagram,Why your moisturizer matters more than your serum — barrier 101 thread #skincare #beauty,1331,2025-08-20,why your moisturizer matters more than your serum barrier 101 thread skincare beauty,3
p_054,minimal.skin,instagram,Azelaic acid for post-acne marks: 8 week update with photos,155,2025-08-04,azelaic acid for post acne marks 8 week update with photos,7
p_055,minimal.skin,instagram,Why your moisturizer matters more than your serum — barrier 101 thread,1898,2025-08-08,why your moisturizer matters more than your serum barrier 101 thread,3
p_056,minimal.skin,instagram,Ingredient spotlight: ceramides and why they're not optional,6809,2025-08-29,ingredient spotlight ceramides and why they're not optional,1
p_057,minimal.skin,instagram,BHA 2% for clogged pores: application tips and what to avoid,1970,2025-07-17,bha 2 for clogged pores application tips and what to avoid,1
p_058,minimal.skin,tiktok,Peptide serums: what the evidence actually says,1802,2025-09-26,peptide serums what the evidence actually says,9
p_059,minimal.skin,tiktok,Signs your skin barrier is compromised (and how to fix it),929,2025-10-13,signs your skin barrier is compromised and how to fix it,2
p_060,minimal.skin,instagram,SPF reapplication on office days: what actually works under makeup,2395,2025-09-09,spf reapplication on office days what actually works under makeup,9
p_061,glambygia,instagram,Huge Sephora haul — new spring launches unboxing,1302,2025-09-24,huge sephora haul new spring launches unboxing,6
p_062,glambygia,tiktok,Testing viral TikTok makeup hacks so you don't have to,2883,2025-08-31,testing viral tiktok makeup hacks so you don't have to,1
p_063,glambygia,tiktok,Get ready with me: wedding guest soft glam,23218,2025-08-09,get ready with me wedding guest soft glam,1
p_064,glambygia,instagram,Testing viral TikTok makeup hacks so you don't have to #skincare #beauty,1430,2025-09-04,testing viral tiktok makeup hacks so you don't have to skincare beauty,1
p_065,glambygia,instagram,Testing viral TikTok makeup hacks so you don't have to #skincare #beauty,1710,2025-10-30,testing viral tiktok makeup hacks so you don't have to skincare beauty,1
p_066,glambygia,instagram,GRWM for date night — full glam contour and winged liner,15716,2025-07-28,grwm for date night full glam contour and winged liner,7
p_067,glambygia,tiktok,Lip combo of the week: liner + gloss pairing #skincare #beauty link in bio,1072,2025-10-18,lip combo of the week liner gloss pairing skincare beauty link in bio,7
p_068,glambygia,tiktok,Lip combo of the week: liner + gloss pairing,522,2025-07-29,lip combo of the week liner gloss pairing,7
p_069,glambygia,instagram,Bridal trial makeup timelapse — airbrush base link in bio,23893,2025-07-08,bridal trial makeup timelapse airbrush base link in bio,7
p_070,makeup.mila,tiktok,Lip combo of the week: liner + gloss pairing #skincare #beauty,18118,2025-10-17,lip combo of the week liner gloss pairing skincare beauty,7
p_071,makeup.mila,instagram,My holy grail foundation shade match routine,4260,2025-08-11,my holy grail foundation shade match routine,1
p_072,makeup.mila,tiktok,Testing viral TikTok makeup hacks so you don't have to link in bio,15206,2025-08-03,testing viral tiktok makeup hacks so you don't have to link in bio,1
p_073,makeup.mila,tiktok,Bridal trial makeup timelapse — airbrush base,58021,2025-07-25,bridal trial makeup timelapse airbrush base,1
p_074,makeup.mila,tiktok,Testing viral TikTok makeup hacks so you don't have to,1113,2025-08-15,testing viral tiktok makeup hacks so you don't have to,1
p_075,makeup.mila,tiktok,Get ready with me: wedding guest soft glam #skincare #beauty,2864,2025-09-29,get ready with me wedding guest soft glam skincare beauty,1
p_076,makeup.mila,instagram,My holy grail foundation shade match routine,3109,2025-10-02,my holy grail foundation shade match routine,1
p_077,makeup.mila,instagram,Full face using only drugstore products under $50,5377,2025-07-23,full face using only drugstore products under 50,1
p_078,makeup.mila,tiktok,Color correctors that actually cancel dark circles #skincare #beauty,5089,2025-08-23,color correctors that actually cancel dark circles skincare beauty,1
p_079,beauty.haul.hannah,tiktok,Empty vs repurchase — monthly makeup declutter,1665,2025-10-08,empty vs repurchase monthly makeup declutter,4
p_080,beauty.haul.hannah,tiktok,PR package unboxing day — so many boxes #skincare #beauty,3199,2025-10-20,pr package unboxing day so many boxes skincare beauty,6
p_081,beauty.haul.hannah,instagram,Amazon beauty finds under $15 #skincare #beauty,4867,2025-10-27,amazon beauty finds under 15 skincare beauty,1
p_082,beauty.haul.hannah,instagram,Smokey eye tutorial for hooded lids #skincare #beauty,1271,2025-09-19,smokey eye tutorial for hooded lids skincare beauty,1
p_083,beauty.haul.hannah,instagram,Huge Sephora haul — new spring launches unboxing #skincare #beauty,9013,2025-10-23,huge sephora haul new spring launches unboxing skincare beauty,6
p_084,beauty.haul.hannah,tiktok,Huge Sephora haul — new spring launches unboxing #skincare #beauty,957,2025-08-22,huge sephora haul new spring launches unboxing skincare beauty,6
p_085,beauty.haul.hannah,instagram,Ulta 21 days of beauty what I actually bought,1081,2025-09-08,ulta 21 days of beauty what i actually bought,1
p_086,beauty.haul.hannah,tiktok,Huge Sephora haul — new spring launches unboxing,4236,2025-10-22,huge sephora haul new spring launches unboxing,6
p_087,beauty.haul.hannah,instagram,PR package unboxing day — so many boxes,2319,2025-09-25,pr package unboxing day so many boxes,6
p_088,beauty.haul.hannah,instagram,Amazon beauty finds under $15,942,2025-09-29,amazon beauty finds under 15,1
p_089,lipstick.lena,tiktok,Lip combo of the week: liner + gloss pairing,615,2025-08-21,lip combo of the week liner gloss pairing,7
p_090,lipstick.lena,instagram,Full face using only drugstore products under $50 #skincare #beauty,18478,2025-08-30,full face using only drugstore products under 50 skincare beauty,1
p_091,lipstick.lena,tiktok,Huge Sephora haul — new spring launches unboxing,39045,2025-08-18,huge sephora haul new spring launches unboxing,6
p_092,lipstick.lena,tiktok,Color correctors that actually cancel dark circles,2504,2025-07-07,color correctors that actually cancel dark circles,1
p_093,lipstick.lena,instagram,What's in my cart this week — link in bio,2685,2025-09-21,what's in my cart this week link in bio,7
p_094,lipstick.lena,tiktok,Bridal trial makeup timelapse — airbrush base,5209,2025-07-27,bridal trial makeup timelapse airbrush base,1
p_095,lipstick.lena,instagram,Skincare shelfie restock — new serums only #skincare #beauty,15131,2025-08-28,skincare shelfie restock new serums only skincare beauty,1
p_096,lipstick.lena,instagram,GRWM for date night — full glam contour and winged liner,443,2025-08-14,grwm for date night full glam contour and winged liner,7
p_097,lipstick.lena,tiktok,Full face using only drugstore products under $50,14284,2025-08-04,full face using only drugstore products under 50,1
p_098,lipstick.lena,tiktok,Huge Sephora haul — new spring launches unboxing,5577,2025-10-31,huge sephora haul new spring launches unboxing,6
p_099,fit.with.faye,instagram,Marathon week 8 long run vlog,696,2025-09-09,marathon week 8 long run vlog,7
p_100,fit.with.faye,instagram,Moving vlog part 2 — kitchen organization #skincare #beauty,607,2025-07-29,moving vlog part 2 kitchen organization skincare beauty,1
p_101,fit.with.faye,instagram,"Cozy night routine — candles, tea, reading #skincare #beauty",630,2025-09-28,cozy night routine candles tea reading skincare beauty,1
p_102,fit.with.faye,instagram,"Sunday reset: laundry, groceries, planning the week",11598,2025-09-01,sunday reset laundry groceries planning the week,7
p_103,fit.with.faye,tiktok,Matcha ritual + journaling prompts for anxious mornings,559,2025-09-10,matcha ritual journaling prompts for anxious mornings,1
p_104,fit.with.faye,instagram,Leg day at home — resistance bands only,4311,2025-10-28,leg day at home resistance bands only,6
p_105,fit.with.faye,instagram,Meal prep Sunday: 4 lunches in 45 minutes,825,2025-09-12,meal prep sunday 4 lunches in 45 minutes,1
p_106,fit.with.faye,instagram,Meal prep Sunday: 4 lunches in 45 minutes,14152,2025-08-24,meal prep sunday 4 lunches in 45 minutes,1
p_107,fit.with.faye,tiktok,What I eat in a day — high protein vegetarian #skincare #beauty,2563,2025-08-12,what i eat in a day high protein vegetarian skincare beauty,4
p_108,fit.with.faye,instagram,What I eat in a day — high protein vegetarian,1509,2025-10-14,what i eat in a day high protein vegetarian,4
p_109,runlift.rina,instagram,"5am morning routine: gym, skincare, podcast #skincare #beauty link in bio",4124,2025-07-08,5am morning routine gym skincare podcast skincare beauty link in bio,7
p_110,runlift.rina,tiktok,Marathon week 8 long run vlog,89103,2025-09-03,marathon week 8 long run vlog,7
p_111,runlift.rina,tiktok,"5am morning routine: gym, skincare, podcast #skincare #beauty",4899,2025-09-30,5am morning routine gym skincare podcast skincare beauty,1
p_112,runlift.rina,instagram,Stretching routine after desk job — hips and back #skincare #beauty,805,2025-09-17,stretching routine after desk job hips and back skincare beauty,1
p_113,runlift.rina,instagram,Stretching routine after desk job — hips and back #skincare #beauty,1022,2025-08-06,stretching routine after desk job hips and back skincare beauty,1
p_114,runlift.rina,tiktok,20 min pilates core for beginners — follow along,6231,2025-07-22,20 min pilates core for beginners follow along,1
p_115,runlift.rina,tiktok,Marathon week 8 long run vlog,45852,2025-08-11,marathon week 8 long run vlog,7
p_116,wellness.wren,tiktok,Leg day at home — resistance bands only #skincare #beauty,900,2025-07-29,leg day at home resistance bands only skincare beauty,6
p_117,wellness.wren,tiktok,Marathon week 8 long run vlog #skincare #beauty,6211,2025-07-18,marathon week 8 long run vlog skincare beauty,7
p_118,wellness.wren,tiktok,Leg day at home — resistance bands only,9681,2025-10-23,leg day at home resistance bands only,6
p_119,wellness.wren,instagram,Marathon week 8 long run vlog,796,2025-10-31,marathon week 8 long run vlog,7
p_120,wellness.wren,tiktok,What I eat in a day — high protein vegetarian,7944,2025-07-04,what i eat in a day high protein vegetarian,4
p_121,wellness.wren,tiktok,Marathon week 8 long run vlog,8936,2025-10-24,marathon week 8 long run vlog,7
p_122,dayinthelife.dani,instagram,Stretching routine after desk job — hips and back link in bio,11166,2025-08-30,stretching routine after desk job hips and back link in bio,7
p_123,dayinthelife.dani,instagram,Apartment deep clean with me — satisfying reset link in bio,7184,2025-08-18,apartment deep clean with me satisfying reset link in bio,7
p_124,dayinthelife.dani,instagram,Apartment deep clean with me — satisfying reset,148217,2025-09-27,apartment deep clean with me satisfying reset,1
p_125,dayinthelife.dani,tiktok,"Sunday reset: laundry, groceries, planning the week #skincare #beauty",6898,2025-08-11,sunday reset laundry groceries planning the week skincare beauty,7
p_126,dayinthelife.dani,instagram,Moving vlog part 2 — kitchen organization #skincare #beauty,1025,2025-08-12,moving vlog part 2 kitchen organization skincare beauty,1
p_127,dayinthelife.dani,tiktok,"Day in my life in NYC — coffee, meetings, sunset walk #skincare #beauty",6268,2025-07-18,day in my life in nyc coffee meetings sunset walk skincare beauty,6
p_128,dayinthelife.dani,tiktok,Apartment deep clean with me — satisfying reset,1970,2025-07-09,apartment deep clean with me satisfying reset,1
p_129,dayinthelife.dani,tiktok,"Sunday reset: laundry, groceries, planning the week link in bio",4495,2025-10-18,sunday reset laundry groceries planning the week link in bio,7
p_130,dayinthelife.dani,tiktok,"Day in my life in NYC — coffee, meetings, sunset walk #skincare #beauty",3589,2025-09-29,day in my life in nyc coffee meetings sunset walk skincare beauty,6
p_131,clean.casa,instagram,Moving vlog part 2 — kitchen organization,2522,2025-08-18,moving vlog part 2 kitchen organization,1
p_132,clean.casa,tiktok,Come thrift with me — vintage finds downtown #skincare #beauty,270,2025-10-25,come thrift with me vintage finds downtown skincare beauty,1
p_133,clean.casa,instagram,"Cozy night routine — candles, tea, reading",6540,2025-07-09,cozy night routine candles tea reading,1
p_134,clean.casa,tiktok,Come thrift with me — vintage finds downtown #skincare #beauty link in bio,1621,2025-09-25,come thrift with me vintage finds downtown skincare beauty link in bio,7
p_135,clean.casa,instagram,Come thrift with me — vintage finds downtown,23873,2025-07-26,come thrift with me vintage finds downtown,1
