post_id,creator_handle,platform,caption,like_count,posted_at
p_001,dr.skinlab,instagram,How long to wait between actives — dermatology resident perspective #skincare #beauty link in bio,87007,2025-10-21
p_002,dr.skinlab,instagram,Why your moisturizer matters more than your serum — barrier 101 thread #skincare #beauty,4647,2025-08-04
p_003,dr.skinlab,instagram,Niacinamide vs vitamin C: can you use both? here's the order,5619,2025-09-08
p_004,dr.skinlab,instagram,Retinol sandwich method explained in 60 seconds #skincare #beauty,18128,2025-07-21
p_005,dr.skinlab,instagram,Double cleanse demo: oil cleanser + gentle gel for sunscreen removal,874,2025-08-13
p_006,dr.skinlab,instagram,Morning routine for melasma-prone skin — SPF is step zero,888,2025-09-25
p_007,barrierbestie,tiktok,Morning routine for melasma-prone skin — SPF is step zero #skincare #beauty,1015,2025-08-08
p_009,barrierbestie,tiktok,BHA 2% for clogged pores: application tips and what to avoid,1774,2025-10-05
p_010,barrierbestie,instagram,Slugging debate: petroleum jelly overnight yes or no,241,2025-09-04
p_011,barrierbestie,tiktok,Retinol sandwich method explained in 60 seconds #skincare #beauty,7256,2025-08-19
p_012,barrierbestie,instagram,Niacinamide vs vitamin C: can you use both? here's the order link in bio,344,2025-07-23
p_013,retinol_rachel,tiktok,Azelaic acid for post-acne marks: 8 week update with photos,6686,2025-09-28
p_014,retinol_rachel,instagram,Signs your skin barrier is compromised (and how to fix it) #skincare #beauty,8914,2025-10-19
p_015,retinol_rachel,tiktok,How long to wait between actives — dermatology resident perspective,4299,2025-08-26
p_016,retinol_rachel,tiktok,Tretinoin purge vs breakout — how to tell the difference link in bio,1957,2025-07-12
p_017,retinol_rachel,instagram,SPF reapplication on office days: what actually works under makeup #skincare #beauty,309,2025-08-23
p_018,retinol_rachel,tiktok,Ingredient spotlight: ceramides and why they're not optional,11633,2025-09-11
p_019,retinol_rachel,instagram,Mineral vs chemical sunscreen: UV camera test results,1089,2025-09-19
p_020,retinol_rachel,instagram,Ingredient spotlight: ceramides and why they're not optional #skincare #beauty,4696,2025-10-24
p_021,retinol_rachel,tiktok,Morning routine for melasma-prone skin — SPF is step zero,4641,2025-10-16
p_022,glow.with.grace,tiktok,Niacinamide vs vitamin C: can you use both? here's the order,257,2025-09-17
p_023,glow.with.grace,instagram,Double cleanse demo: oil cleanser + gentle gel for sunscreen removal link in bio,5971,2025-10-08
p_024,glow.with.grace,instagram,Double cleanse demo: oil cleanser + gentle gel for sunscreen removal #skincare #beauty,1281,2025-08-23
p_025,glow.with.grace,instagram,Mineral vs chemical sunscreen: UV camera test results,784,2025-10-05
p_026,glow.with.grace,instagram,"Day in my life in NYC — coffee, meetings, sunset walk #skincare #beauty link in bio",317,2025-09-04
p_027,glow.with.grace,instagram,Why fragrance in skincare isn't always the enemy (but often is for rosacea),1085,2025-10-25
p_028,glow.with.grace,instagram,Ingredient spotlight: ceramides and why they're not optional #skincare #beauty,4224,2025-07-15
p_029,glow.with.grace,tiktok,Why your moisturizer matters more than your serum — barrier 101 thread link in bio,10397,2025-07-04
p_030,glow.with.grace,instagram,Apartment deep clean with me — satisfying reset link in bio,1999,2025-08-27
p_031,glow.with.grace,tiktok,How long to wait between actives — dermatology resident perspective #skincare #beauty,1710,2025-08-11
p_032,acnepath,instagram,BHA 2% for clogged pores: application tips and what to avoid link in bio,5275,2025-10-20
p_033,acnepath,tiktok,Niacinamide vs vitamin C: can you use both? here's the order link in bio,2166,2025-07-18
p_034,acnepath,instagram,How long to wait between actives — dermatology resident perspective,6476,2025-07-05
p_035,acnepath,instagram,BHA 2% for clogged pores: application tips and what to avoid #skincare #beauty link in bio,5382,2025-09-26
p_036,acnepath,tiktok,Why fragrance in skincare isn't always the enemy (but often is for rosacea),3025,2025-07-08
p_037,acnepath,instagram,SPF reapplication on office days: what actually works under makeup,4369,2025-07-30
p_038,acnepath,instagram,Why fragrance in skincare isn't always the enemy (but often is for rosacea) link in bio,1633,2025-09-07
p_039,acnepath,instagram,How long to wait between actives — dermatology resident perspective,8430,2025-10-01
p_040,spf.sam,tiktok,Ingredient spotlight: ceramides and why they're not optional,9398,2025-10-12
p_041,spf.sam,tiktok,Peptide serums: what the evidence actually says #skincare #beauty,6181,2025-07-05
p_042,spf.sam,tiktok,Mineral vs chemical sunscreen: UV camera test results,284,2025-09-14
p_043,spf.sam,instagram,Morning routine for melasma-prone skin — SPF is step zero,531,2025-07-13
p_044,spf.sam,tiktok,Why your moisturizer matters more than your serum — barrier 101 thread,838,2025-09-11
p_045,spf.sam,instagram,Morning routine for melasma-prone skin — SPF is step zero,8523,2025-08-19
p_046,chemist.chloe,tiktok,Tretinoin purge vs breakout — how to tell the difference,2266,2025-07-21
p_047,chemist.chloe,tiktok,Why fragrance in skincare isn't always the enemy (but often is for rosacea),2207,2025-08-08
p_048,chemist.chloe,tiktok,Doctor explains why over-exfoliating ruins your barrier,3115,2025-09-21
p_049,chemist.chloe,instagram,How long to wait between actives — dermatology resident perspective,4188,2025-08-23
p_050,chemist.chloe,tiktok,Stitch: why lemon juice on face is never the answer #skincare #beauty,2619,2025-10-05
p_051,chemist.chloe,tiktok,Peptide serums: what the evidence actually says,4705,2025-08-09
p_052,chemist.chloe,tiktok,Signs your skin barrier is compromised (and how to fix it) #skincare #beauty,4716,2025-10-07
p_053,chemist.chloe,instagram,Why your moisturizer matters more than your serum — barrier 101 thread #skincare #beauty,1331,2025-08-20
p_054,minimal.skin,instagram,Azelaic acid for post-acne marks: 8 week update with photos,155,2025-08-04
p_055,minimal.skin,instagram,Why your moisturizer matters more than your serum — barrier 101 thread,1898,2025-08-08
p_056,minimal.skin,instagram,Ingredient spotlight: ceramides and why they're not optional,6809,2025-08-29
p_057,minimal.skin,instagram,BHA 2% for clogged pores: application tips and what to avoid,1970,2025-07-17
p_058,minimal.skin,tiktok,Peptide serums: what the evidence actually says,1802,2025-09-26
p_059,minimal.skin,tiktok,Signs your skin barrier is compromised (and how to fix it),929,2025-10-13
p_060,minimal.skin,instagram,SPF reapplication on office days: what actually works under makeup,2395,2025-09-09
p_061,glambygia,instagram,Huge Sephora haul — new spring launches unboxing,1302,2025-09-24
p_062,glambygia,tiktok,Testing viral TikTok makeup hacks so you don't have to,2883,2025-08-31
p_063,glambygia,tiktok,Get ready with me: wedding guest soft glam,23218,2025-08-09
p_064,glambygia,instagram,Testing viral TikTok makeup hacks so you don't have to #skincare #beauty,1430,2025-09-04
p_065,glambygia,instagram,Testing viral TikTok makeup hacks so you don't have to #skincare #beauty,1710,2025-10-30
p_066,glambygia,instagram,GRWM for date night — full glam contour and winged liner,15716,2025-07-28
p_067,glambygia,tiktok,Lip combo of the week: liner + gloss pairing #skincare #beauty link in bio,1072,2025-10-18
p_068,glambygia,tiktok,Lip combo of the week: liner + gloss pairing,522,2025-07-29
p_069,glambygia,instagram,Bridal trial makeup timelapse — airbrush base link in bio,23893,2025-07-08
p_070,makeup.mila,tiktok,Lip combo of the week: liner + gloss pairing #skincare #beauty,18118,2025-10-17
p_071,makeup.mila,instagram,My holy grail foundation shade match routine,4260,2025-08-11
p_072,makeup.mila,tiktok,Testing viral TikTok makeup hacks so you don't have to link in bio,15206,2025-08-03
p_073,makeup.mila,tiktok,Bridal trial makeup timelapse — airbrush base,58021,2025-07-25
p_074,makeup.mila,tiktok,Testing viral TikTok makeup hacks so you don't have to,1113,2025-08-15
p_075,makeup.mila,tiktok,Get ready with me: wedding guest soft glam #skincare #beauty,2864,2025-09-29
