creator_handle,niche_fit_score,fit_label,primary_topic,post_count,on_niche_keyword_matches,off_niche_keyword_matches,aligned_post_ratio,off_niche_post_ratio,notes,platform,follower_count,bio
retinol_rachel,0.95,high,Skincare routines and education,9,10,0,0.889,0.0,High fit. Creator has 9 posts. Dominant topic: 'Skincare routines and education'. Matched 10 on-niche keywords and 0 off-niche keywords. 8/9 posts directly matched the target skincare niche.,instagram,64000,Night routine nerd | tretinoin journeys
minimal.skin,0.936,high,Skincare routines and education,7,9,0,0.857,0.0,High fit. Creator has 7 posts. Dominant topic: 'Skincare routines and education'. Matched 9 on-niche keywords and 0 off-niche keywords. 6/7 posts directly matched the target skincare niche.,instagram,38000,3-step routines | less is more skincare
dr.skinlab,0.925,high,Skincare routines and education,6,10,0,0.833,0.0,High fit. Creator has 6 posts. Dominant topic: 'Skincare routines and education'. Matched 10 on-niche keywords and 0 off-niche keywords. 5/6 posts directly matched the target skincare niche.,instagram,185000,Board-certified derm PA | ingredient breakdowns | SPF evangelist
barrierbestie,0.91,high,Skincare routines and education,5,8,0,0.8,0.0,High fit. Creator has 5 posts. Dominant topic: 'Skincare routines and education'. Matched 8 on-niche keywords and 0 off-niche keywords. 4/5 posts directly matched the target skincare niche.,instagram,92000,Sensitive skin routines | fragrance-free picks
glow.with.grace,0.865,high,Skincare routines and education,10,9,0,0.7,0.0,High fit. Creator has 10 posts. Dominant topic: 'Skincare routines and education'. Matched 9 on-niche keywords and 0 off-niche keywords. 7/10 posts directly matched the target skincare niche.,tiktok,41000,Vitamin C + hydration tips for busy moms
spf.sam,0.856,high,Skincare routines and education,6,7,0,0.833,0.0,High fit. Creator has 6 posts. Dominant topic: 'Skincare routines and education'. Matched 7 on-niche keywords and 0 off-niche keywords. 5/6 posts directly matched the target skincare niche.,tiktok,55000,Daily sunscreen tests | UV education
mature.glow,0.856,high,Skincare routines and education,6,7,0,0.833,0.0,High fit. Creator has 6 posts. Dominant topic: 'Skincare routines and education'. Matched 7 on-niche keywords and 0 off-niche keywords. 5/6 posts directly matched the target skincare niche.,tiktok,48000,Skincare after 40 | peptide routines
teen.skin.tips,0.85,high,Skincare routines and education,9,10,0,0.667,0.0,High fit. Creator has 9 posts. Dominant topic: 'Skincare routines and education'. Matched 10 on-niche keywords and 0 off-niche keywords. 6/9 posts directly matched the target skincare niche.,tiktok,61000,Teen acne help | gentle starter routines
acnepath,0.75,high,Skincare routines and education,8,6,0,0.75,0.0,High fit. Creator has 8 posts. Dominant topic: 'Skincare routines and education'. Matched 6 on-niche keywords and 0 off-niche keywords. 6/8 posts directly matched the target skincare niche.,tiktok,128000,Real talk acne | azelaic acid & patience
kbeauty.kate,0.663,high,Skincare routines and education,9,6,0,0.556,0.0,High fit. Creator has 9 posts. Dominant topic: 'Skincare routines and education'. Matched 6 on-niche keywords and 0 off-niche keywords. 5/9 posts directly matched the target skincare niche.,tiktok,112000,K-beauty routines | glass skin steps
